dataset,KNN,DecisionTree,RandomForest,GaussianNB,SVM
openml_odds_46342,0.347163,0.3021,0.372261,0.139153,0.233784
openml_oil_spill_311,0.510748,0.723134,0.656856,0.689144,0.488816
openml_parity5_plus_5_40706,0.542164,0.633123,0.529039,0.426445,0.293819
openml_parkinsons_1488,0.724093,0.819558,0.831144,0.686865,0.658806
openml_pbcseq_802,0.721353,0.697251,0.807296,0.49349,0.349304
openml_pbc_810,0.596116,0.661985,0.672061,0.649209,0.475492
openml_pc1_1068,0.561233,0.654904,0.673391,0.608262,0.482017
openml_pc3_1050,0.498285,0.617339,0.610345,0.266645,0.473028
openml_pc4_1049,0.534193,0.702061,0.707054,0.641945,0.467105
openml_penguins_42585,0.719678,0.984171,0.989247,0.890948,0.54907
openml_pharynx_738,0.631643,0.671485,0.735306,0.320766,0.382887
openml_PieChart1_1451,0.475442,0.660014,0.605296,0.627578,0.47739
openml_PieChart2_1452,0.494572,0.51575,0.494572,0.461955,0.494572
openml_PieChart3_1453,0.496157,0.666316,0.584411,0.218804,0.466832
openml_PizzaCutter1_1443,0.478292,0.641655,0.647309,0.637226,0.479527
openml_PizzaCutter3_1444,0.508428,0.633885,0.572418,0.242962,0.467586
openml_planning-relax_1490,0.431928,0.437285,0.444881,0.460459,0.414798
openml_plasma_retinol_915,0.516831,0.56055,0.579179,0.493459,0.376016
openml_pm10_750,0.54095,0.55296,0.606666,0.508103,0.424158
openml_PopularKids_1100,0.423871,0.402993,0.441295,0.398369,0.227122
openml_primary-tumor_1003,0.772775,0.779945,0.778853,0.733061,0.787508
openml_prnn_crabs_446,0.93472,0.929906,0.944972,0.622285,0.849226
openml_profb_470,0.54177,0.567164,0.545699,0.435097,0.399998
openml_pwLinear_721,0.824165,0.809332,0.894884,0.844418,0.884039
openml_qsar-biodeg_1494,0.792368,0.796141,0.852114,0.711948,0.77409
openml_qualitative-bankruptcy_1495,1.0,0.99188,1.0,0.987587,0.99592
openml_rabe_266_782,0.941507,0.949853,0.941536,0.932955,0.958172
openml_regime_alimentaire_42172,0.905463,0.894274,0.864849,0.443684,0.899954
openml_rmftsa_sleepdata_679,0.306259,0.389734,0.406249,0.264425,0.233856
openml_sa-heart_1498,0.529018,0.54003,0.641762,0.688353,0.442566
openml_schizo_466,0.789223,0.630952,0.575941,0.457637,0.408482
openml_seeds_1499,0.873894,0.892889,0.917874,0.888835,0.899298
openml_seismic-bumps_1500,0.873894,0.892889,0.917874,0.888835,0.899298
openml_sensory_826,0.674519,0.633147,0.668786,0.613426,0.67431
openml_servo_747,0.836357,0.866109,0.883013,0.907334,0.901398
openml_sleuth_case2002_902,0.59192,0.561474,0.628853,0.659239,0.670918
openml_socmob_934,0.902843,0.899419,0.914407,0.823397,0.891109
openml_solar-flare_40686,0.584671,0.641752,0.633985,0.566219,0.638274
openml_South_Asian_Churn_dataset_44227,0.593726,0.655248,0.721668,0.600409,0.553304
openml_soybean_1023,0.932651,0.889991,0.922677,0.78596,0.924541
openml_SPECTF_337,0.689838,0.819103,0.880267,0.706663,0.778182
openml_SPECT_336,0.658759,0.647512,0.696037,0.569731,0.721473
openml_steel-plates-fault_1504,0.581309,1.0,0.992613,0.48375,0.417423
openml_stock_841,0.955748,0.949431,0.966291,0.707124,0.901698
openml_stress_42167,0.710139,0.736415,0.701143,0.601737,0.676184
openml_strikes_770,0.733772,0.950367,0.977595,0.604882,0.645933
openml_students_scores_43097,0.853389,0.819592,0.847615,0.650883,0.871415
openml_SyskillWebert-BioMedical_374,0.338219,0.338219,0.338219,0.014638,0.338219
openml_tae_48,0.36963,0.621557,0.633447,0.494751,0.318121
openml_teachingAssistant_1115,0.740336,0.93325,0.64563,0.361898,0.407861
openml_thoracic-surgery_1506,0.457896,0.551972,0.470296,0.167282,0.45977
openml_threeOf9_40690,0.917084,0.988271,0.990248,0.812489,0.994112
openml_thyroid-new_40682,0.891439,0.916797,0.958777,0.950295,0.69921
openml_tic-tac-toe_50,0.997691,0.934944,0.989545,0.653934,0.987196
openml_Titanic_40945,1.0,1.0,1.0,1.0,
openml_tokyo1_40705,0.907767,0.918287,0.925003,0.864982,0.899401
openml_total_score_46505,0.25008,0.708011,0.72591,0.205607,0.183744
openml_Touch2_42544,0.651309,0.670888,0.809647,0.619497,0.57665
openml_Tour-and-Travels-Customer-Churn-Prediction_45545,0.801875,0.851857,0.830059,0.712921,0.433492
openml_transplant_885,1.0,0.991707,0.982967,0.973957,1.0
openml_user-knowledge_1508,0.673124,0.793948,0.791562,0.748759,0.774704
openml_vehicle_54,0.651401,0.69416,0.727308,0.427623,0.47143
openml_vertebra-column_1523,0.780829,0.726003,0.789129,0.799728,0.801297
openml_veteran_719,0.55965,0.608745,0.677795,0.672648,0.40692
